Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",10,2003,280,412,334,18,42,7513,8618,12982,19423,10993,44654,1061
CLT,"Charlotte, NC: Charlotte Douglas International",10,2003,180,239,420,8,54,8210,9116,8667,9925,10434,29420,378
DCA,"Washington, DC: Ronald Reagan Washington National",10,2003,226,172,374,18,57,6078,6964,10083,7642,11881,30801,1089
DEN,"Denver, CO: Denver International",10,2003,451,296,419,24,91,11348,12642,23772,19133,11716,57172,2097
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10,2003,700,635,892,79,200,25757,28282,50028,30244,28680,116061,6675
DTW,"Detroit, MI: Detroit Metro Wayne County",10,2003,294,243,600,21,64,10817,12047,18527,10754,14809,45537,1102
EWR,"Newark, NJ: Newark Liberty International",10,2003,296,324,1710,54,135,10622,13159,16563,17900,81269,119623,3661
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",10,2003,153,177,192,5,5,4522,5065,6585,9407,5152,21673,320
IAD,"Washington, DC: Washington Dulles International",10,2003,280,309,510,67,125,7412,8723,14986,18071,21855,64257,9043
IAH,"Houston, TX: George Bush Intercontinental/Houston",10,2003,291,351,964,42,51,14214,15957,16074,18952,29350,69360,4594
JFK,"New York, NY: John F. Kennedy International",10,2003,201,156,373,16,28,5335,6124,12350,9965,15255,39054,1280
LAS,"Las Vegas, NV: McCarran International",10,2003,429,573,800,32,135,10594,12587,19898,32158,34651,89796,2534
LAX,"Los Angeles, CA: Los Angeles International",10,2003,612,578,1112,150,581,15851,18973,33935,32937,74833,155938,13737
LGA,"New York, NY: LaGuardia",10,2003,281,260,808,27,124,7814,9319,13835,13847,32134,61210,1311
MCO,"Orlando, FL: Orlando International",10,2003,267,249,298,4,17,6985,7824,11785,12138,8768,33077,376
MDW,"Chicago, IL: Chicago Midway International",10,2003,151,336,361,14,45,6748,7665,7552,17727,10247,36536,826
MIA,"Miami, FL: Miami International",10,2003,177,118,288,19,34,4297,4948,11322,6822,8642,27775,989
MSP,"Minneapolis, MN: Minneapolis-St Paul International",10,2003,363,202,819,22,53,10626,12098,23095,10775,21114,56341,1047
ORD,"Chicago, IL: Chicago O'Hare International",10,2003,673,896,2951,38,324,26086,30990,43272,45022,113979,204968,2152
PDX,"Portland, OR: Portland International",10,2003,147,245,255,4,45,4045,4749,7896,14719,8010,31002,195
PHL,"Philadelphia, PA: Philadelphia International",10,2003,256,312,890,16,80,7675,9239,11126,14601,30965,57820,1084
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",10,2003,450,566,530,19,187,12481,14255,23993,30844,18222,75157,1644
SAN,"San Diego, CA: San Diego International",10,2003,238,280,324,44,189,6043,7206,10136,13836,12173,39876,3300
SEA,"Seattle, WA: Seattle/Tacoma International",10,2003,363,425,898,19,113,7087,8921,20000,24715,27347,73423,1281
SFO,"San Francisco, CA: San Francisco International",10,2003,379,285,757,32,102,8804,10372,17952,16901,27186,64070,1897
SLC,"Salt Lake City, UT: Salt Lake City International",10,2003,326,216,325,34,61,9670,10641,16766,12213,10705,41520,1579
TPA,"Tampa, FL: Tampa International",10,2003,177,210,201,5,9,4940,5545,9434,10327,5786,25812,145
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",11,2003,789,888,2773,155,263,25220,30113,46969,45779,92045,193608,8672
BOS,"Boston, MA: Logan International",11,2003,311,414,418,22,156,7920,9250,17405,23277,12515,54711,1514
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11,2003,291,408,380,20,40,6905,8064,13786,21392,13388,50385,1761
CLT,"Charlotte, NC: Charlotte Douglas International",11,2003,201,314,397,12,77,7689,8696,9334,15327,10897,36259,701
DCA,"Washington, DC: Ronald Reagan Washington National",11,2003,232,289,387,21,91,5495,6537,11956,16264,12299,41879,1261
DEN,"Denver, CO: Denver International",11,2003,679,387,822,91,102,9742,11839,31476,23104,23652,86644,8125
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11,2003,825,1028,1632,167,373,23809,27905,54258,56317,54590,181139,15644
DTW,"Detroit, MI: Detroit Metro Wayne County",11,2003,354,348,670,87,114,9791,11374,25903,17650,19054,68865,6213
EWR,"Newark, NJ: Newark Liberty International",11,2003,252,567,2278,175,307,8796,12417,15831,30967,131554,190818,12198
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",11,2003,188,261,288,17,9,4319,5086,8293,15339,10364,35542,1353
IAD,"Washington, DC: Washington Dulles International",11,2003,250,363,578,38,136,6776,8200,14036,22984,31415,72043,3582
IAH,"Houston, TX: George Bush Intercontinental/Houston",11,2003,403,562,1629,71,157,12697,15622,22622,28648,62969,123262,8777
JFK,"New York, NY: John F. Kennedy International",11,2003,215,163,301,33,31,5233,6006,10596,11833,11497,38034,3851
LAS,"Las Vegas, NV: McCarran International",11,2003,478,739,1541,50,78,9211,12108,22575,38347,54246,118512,3201
LAX,"Los Angeles, CA: Los Angeles International",11,2003,770,703,1746,66,232,14701,18267,39795,39592,62327,146926,4842
LGA,"New York, NY: LaGuardia",11,2003,280,381,1363,99,261,6480,8878,14283,23157,67267,111408,6701
MCO,"Orlando, FL: Orlando International",11,2003,285,336,360,21,16,6705,7733,13381,18886,11014,44765,1409
MDW,"Chicago, IL: Chicago Midway International",11,2003,165,393,664,87,110,5727,7206,8282,24846,39137,81373,9023
MIA,"Miami, FL: Miami International",11,2003,186,165,370,22,22,4452,5228,11522,11307,13682,38115,1395
MSP,"Minneapolis, MN: Minneapolis-St Paul International",11,2003,401,455,1232,106,164,8988,11364,25646,25600,37561,96480,7588
ORD,"Chicago, IL: Chicago O'Hare International",11,2003,806,1778,9066,202,1403,17869,31206,55398,111600,560287,743287,15742
PDX,"Portland, OR: Portland International",11,2003,201,273,296,25,32,3620,4458,8988,14469,8809,33459,1146
PHL,"Philadelphia, PA: Philadelphia International",11,2003,218,390,1027,54,125,6875,8709,11845,21497,44068,81901,4491
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",11,2003,495,652,1108,34,123,11153,13579,26119,33232,33169,95079,2375
SAN,"San Diego, CA: San Diego International",11,2003,321,376,564,19,55,5438,6785,14437,18046,18067,51951,1350
SEA,"Seattle, WA: Seattle/Tacoma International",11,2003,383,568,819,38,74,6250,8158,19237,29962,25021,76593,2223
SFO,"San Francisco, CA: San Francisco International",11,2003,474,384,1735,45,111,7205,9968,23068,23795,79934,129450,2600
SLC,"Salt Lake City, UT: Salt Lake City International",11,2003,432,388,726,69,105,8454,10202,19077,18475,22097,64303,4057
TPA,"Tampa, FL: Tampa International",11,2003,203,275,259,18,12,4647,5422,9260,14720,7571,32929,1358
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12,2003,1303,1408,4277,271,630,23508,31434,79326,88823,237514,428346,21685
