Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
LGA,"New York, NY: LaGuardia",11,2013,318,440,1003,47,126,6898,8848,18925,23180,43269,88213,2764
MCO,"Orlando, FL: Orlando International",11,2013,415,430,388,14,26,7737,9017,21122,22839,10893,56271,885
MDW,"Chicago, IL: Chicago Midway International",11,2013,387,553,398,39,12,5489,6902,14299,25424,15084,59087,4174
MIA,"Miami, FL: Miami International",11,2013,248,238,227,18,15,5785,6546,15937,14498,6655,38878,942
MSP,"Minneapolis, MN: Minneapolis-St Paul International",11,2013,388,477,404,28,61,10224,11592,26469,25096,11622,65459,1763
ORD,"Chicago, IL: Chicago O'Hare International",11,2013,825,1446,1698,70,441,19511,24033,61881,88910,94074,252473,6966
PDX,"Portland, OR: Portland International",11,2013,216,263,149,7,30,3937,4613,10207,15232,4323,30422,558
PHL,"Philadelphia, PA: Philadelphia International",11,2013,295,273,447,21,49,5251,6338,16778,16477,17621,52330,1190
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",11,2013,608,696,533,20,122,12114,14105,29039,35463,15708,82430,1537
SAN,"San Diego, CA: San Diego International",11,2013,347,407,246,24,99,4851,6029,15110,20199,8474,45755,1796
SEA,"Seattle, WA: Seattle/Tacoma International",11,2013,327,352,308,24,36,6906,7984,15770,20617,9075,46901,1070
SFO,"San Francisco, CA: San Francisco International",11,2013,522,742,975,44,182,10758,13289,31903,49355,47038,131289,2045
SLC,"Salt Lake City, UT: Salt Lake City International",11,2013,288,324,183,11,42,7657,8510,17175,18747,5340,43203,1740
TPA,"Tampa, FL: Tampa International",11,2013,304,344,199,6,6,4413,5279,13955,17224,6029,38431,571
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12,2013,1782,2782,2739,210,354,23999,31894,135389,165660,95299,415453,18616
BOS,"Boston, MA: Logan International",12,2013,669,912,588,75,223,6400,8890,38846,56834,28578,129349,4973
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12,2013,694,1340,404,53,111,5269,7902,32105,68754,15708,120285,3564
CLT,"Charlotte, NC: Charlotte Douglas International",12,2013,673,959,1144,85,205,9759,12837,42933,52784,38505,140171,5783
DCA,"Washington, DC: Ronald Reagan Washington National",12,2013,403,412,322,65,208,4354,5779,21809,23708,13213,63004,4270
DEN,"Denver, CO: Denver International",12,2013,1627,2639,1996,144,374,12183,19028,90167,168708,85521,357353,12528
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12,2013,1090,2147,1607,249,2685,15936,23763,100851,139367,68115,331399,22930
DTW,"Detroit, MI: Detroit Metro Wayne County",12,2013,647,1079,693,113,204,9182,11927,50439,70762,26640,160050,12089
EWR,"Newark, NJ: Newark Liberty International",12,2013,614,1016,1229,77,527,6416,9913,38009,72466,82112,199831,7177
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",12,2013,666,657,838,55,73,3584,5881,31961,39940,30430,106131,3242
IAD,"Washington, DC: Washington Dulles International",12,2013,394,634,288,38,282,4146,5789,24842,46116,12285,85410,2108
IAH,"Houston, TX: George Bush Intercontinental/Houston",12,2013,971,1471,1136,136,373,10726,14852,63627,100570,56756,231629,10551
JFK,"New York, NY: John F. Kennedy International",12,2013,621,908,884,67,189,6466,9151,39323,61305,44802,151354,5854
LAS,"Las Vegas, NV: McCarran International",12,2013,1006,1624,788,67,97,7513,11111,45685,79212,28043,158311,5097
LAX,"Los Angeles, CA: Los Angeles International",12,2013,1364,1943,1391,194,230,13899,19060,70390,110145,49634,242063,11703
LGA,"New York, NY: LaGuardia",12,2013,558,848,949,103,376,6165,9064,34984,55690,54939,155355,9553
MCO,"Orlando, FL: Orlando International",12,2013,973,989,893,70,116,6571,9630,48027,57626,32899,143880,4878
MDW,"Chicago, IL: Chicago Midway International",12,2013,710,1283,813,74,60,4287,7252,31195,65972,31228,134655,5944
MIA,"Miami, FL: Miami International",12,2013,472,473,457,108,102,5867,7489,33202,29126,15587,84154,6057
MSP,"Minneapolis, MN: Minneapolis-St Paul International",12,2013,692,1240,982,141,208,8291,11567,57340,84711,40268,195947,13404
ORD,"Chicago, IL: Chicago O'Hare International",12,2013,1416,2777,3025,224,1211,14397,23086,110431,199396,140673,468194,17584
PDX,"Portland, OR: Portland International",12,2013,453,553,352,40,54,3258,4726,21284,31507,11443,67089,2747
PHL,"Philadelphia, PA: Philadelphia International",12,2013,437,439,597,61,195,4614,6374,25391,26315,32286,88649,4615
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",12,2013,1117,1405,1084,80,167,10812,14681,55767,73188,37996,173867,6664
SAN,"San Diego, CA: San Diego International",12,2013,552,804,352,42,99,4362,6243,25234,40274,14033,82541,2960
SEA,"Seattle, WA: Seattle/Tacoma International",12,2013,668,602,671,84,55,6244,8351,32418,34870,21779,94650,5392
SFO,"San Francisco, CA: San Francisco International",12,2013,885,1137,954,157,245,10394,13809,50220,67415,39728,166582,9077
SLC,"Salt Lake City, UT: Salt Lake City International",12,2013,587,893,670,109,283,6107,8737,37255,55137,28895,136451,14902
TPA,"Tampa, FL: Tampa International",12,2013,620,749,464,51,61,3713,5663,29708,39121,17197,90546,4290
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1,2014,1801,2983,2434,307,2532,20674,30784,169797,210377,131885,546815,34635
BOS,"Boston, MA: Logan International",1,2014,633,721,348,119,707,5715,8283,42218,56421,14403,125933,12810
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1,2014,652,923,425,66,426,4661,7176,37697,64097,17400,124791,5411
CLT,"Charlotte, NC: Charlotte Douglas International",1,2014,579,582,723,76,428,7367,9777,36383,36235,26678,106023,6630
DCA,"Washington, DC: Ronald Reagan Washington National",1,2014,425,453,333,73,394,4047,5739,24661,30672,12593,74730,6777
DEN,"Denver, CO: Denver International",1,2014,1273,2079,1693,166,788,11934,17955,88074,148547,76541,329439,15995
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1,2014,1008,1871,1120,254,779,18416,23482,91695,106652,39196,258617,20992
DTW,"Detroit, MI: Detroit Metro Wayne County",1,2014,576,724,476,98,591,5070,7550,43369,53827,20691,128497,10552
EWR,"Newark, NJ: Newark Liberty International",1,2014,625,934,781,98,1109,5697,9255,53888,73592,49574,190088,12951
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1,2014,615,590,964,127,310,3265,5876,37946,48628,40918,139741,12022
IAD,"Washington, DC: Washington Dulles International",1,2014,349,567,229,52,453,3032,4688,28165,46187,12126,90522,4043
IAH,"Houston, TX: George Bush Intercontinental/Houston",1,2014,874,1360,795,176,1252,10100,14569,62164,101492,36491,217242,17084
JFK,"New York, NY: John F. Kennedy International",1,2014,582,764,619,98,774,4964,7882,43752,72913,36458,168682,15465
LAS,"Las Vegas, NV: McCarran International",1,2014,897,1282,521,97,213,8025,11052,47273,82074,19849,159551,9992
LAX,"Los Angeles, CA: Los Angeles International",1,2014,1179,1636,896,299,479,13948,18474,71678,111243,34925,245169,27168
LGA,"New York, NY: LaGuardia",1,2014,611,775,662,151,1023,5259,8535,43381,56763,36403,151192,14620
MCO,"Orlando, FL: Orlando International",1,2014,935,922,911,144,405,5863,9189,63215,74594,38478,191334,14822
MDW,"Chicago, IL: Chicago Midway International",1,2014,480,659,590,134,958,3546,6577,27913,47838,42335,135018,16663
MIA,"Miami, FL: Miami International",1,2014,443,475,525,148,246,5580,7426,33237,35056,19188,101236,13737
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1,2014,563,721,565,113,365,5747,8085,45432,49872,21955,128578,11288
ORD,"Chicago, IL: Chicago O'Hare International",1,2014,1193,2301,2771,240,3680,11311,21529,105371,194127,169934,494069,24605
PDX,"Portland, OR: Portland International",1,2014,317,385,230,51,100,3279,4372,17767,26861,8320,57560,4593
PHL,"Philadelphia, PA: Philadelphia International",1,2014,392,384,654,73,384,4120,6024,24003,27406,35922,95855,8452
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1,2014,900,1067,485,100,251,10521,13335,51102,65543,17266,142573,8424
SAN,"San Diego, CA: San Diego International",1,2014,509,684,278,91,186,4286,6086,26173,43181,11080,87893,7297
SEA,"Seattle, WA: Seattle/Tacoma International",1,2014,490,511,426,97,141,6093,7776,28201,35595,14445,86879,8581
SFO,"San Francisco, CA: San Francisco International",1,2014,819,1195,1161,210,451,9659,13539,50032,83675,52747,202325,15850
SLC,"Salt Lake City, UT: Salt Lake City International",1,2014,476,650,443,99,162,6805,8676,33578,41215,16947,100598,8751
TPA,"Tampa, FL: Tampa International",1,2014,575,566,513,105,226,3438,5432,35977,39035,20613,106562,10727
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2,2014,1195,1960,1539,187,2319,20760,27982,103196,116466,52641,292859,20414
BOS,"Boston, MA: Logan International",2,2014,457,646,407,62,593,5578,7755,25447,39081,22020,92056,5441
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2,2014,392,628,235,18,460,4822,6570,20789,32276,9046,63818,1544
CLT,"Charlotte, NC: Charlotte Douglas International",2,2014,474,513,598,52,809,6360,8847,28208,28617,23807,85727,4930
DCA,"Washington, DC: Ronald Reagan Washington National",2,2014,322,362,283,39,488,3857,5360,17230,21608,11007,52156,2237
DEN,"Denver, CO: Denver International",2,2014,1049,1790,1562,129,443,11178,16179,63712,109629,67063,252663,12183
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2,2014,890,1854,1279,199,1382,15619,21239,73510,123346,51089,266276,18225
DTW,"Detroit, MI: Detroit Metro Wayne County",2,2014,390,551,335,55,282,5256,6876,26194,37487,13865,82271,4529
EWR,"Newark, NJ: Newark Liberty International",2,2014,444,783,544,55,1319,5364,8530,32262,52980,40513,131419,5644
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2,2014,462,469,657,55,218,3640,5522,24815,28690,26888,85676,5192
IAD,"Washington, DC: Washington Dulles International",2,2014,221,438,137,20,481,2921,4222,14494,31882,6197,54273,1700
IAH,"Houston, TX: George Bush Intercontinental/Houston",2,2014,813,1443,964,118,573,9470,13399,61266,94500,41885,208446,10753
JFK,"New York, NY: John F. Kennedy International",2,2014,397,693,523,48,481,5069,7261,26940,53055,35018,123157,8029
LAS,"Las Vegas, NV: McCarran International",2,2014,693,1114,816,99,171,7172,10093,36746,63223,38156,146654,8388
LAX,"Los Angeles, CA: Los Angeles International",2,2014,1080,1683,1531,190,408,11622,16560,66165,111141,57940,252407,16937
LGA,"New York, NY: LaGuardia",2,2014,422,536,664,70,1081,5080,7915,29823,37479,41015,114949,6595
MCO,"Orlando, FL: Orlando International",2,2014,722,660,730,101,289,6126,8642,44364,42224,29047,125134,9414
MDW,"Chicago, IL: Chicago Midway International",2,2014,363,599,375,49,444,4192,6059,16970,33104,14370,68795,4325
MIA,"Miami, FL: Miami International",2,2014,327,327,371,73,226,5418,6771,24970,22273,16553,70370,6572
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2,2014,401,515,431,50,261,5650,7316,27542,34004,17091,83098,4418
ORD,"Chicago, IL: Chicago O'Hare International",2,2014,1084,2041,2078,127,1518,12914,19812,87681,142872,114502,355785,10679
PDX,"Portland, OR: Portland International",2,2014,290,368,357,16,102,2721,3862,17172,22575,11797,52865,1227
PHL,"Philadelphia, PA: Philadelphia International",2,2014,350,346,497,39,422,3842,5551,23752,22145,31249,81872,4489
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2,2014,751,897,623,47,195,9552,12071,40496,49683,20439,114847,4101
SAN,"San Diego, CA: San Diego International",2,2014,469,638,363,42,123,3810,5485,22082,35227,13226,73510,2954
SEA,"Seattle, WA: Seattle/Tacoma International",2,2014,416,499,589,38,88,5387,7027,22376,31586,19781,77230,3390
SFO,"San Francisco, CA: San Francisco International",2,2014,716,1174,2468,151,719,6802,12081,44702,89615,184589,332440,13294
SLC,"Salt Lake City, UT: Salt Lake City International",2,2014,432,481,340,39,122,6388,7807,26186,26467,11685,68580,4205
TPA,"Tampa, FL: Tampa International",2,2014,434,408,403,46,195,3647,5144,22533,24630,15895,67712,4541
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3,2014,1432,2473,1975,117,341,26345,32702,113515,145086,66091,339059,14219
BOS,"Boston, MA: Logan International",3,2014,502,654,410,29,191,7531,9322,25962,37265,15403,80318,1608
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3,2014,502,847,287,24,221,5914,7810,22719,44183,9967,78510,1478
CLT,"Charlotte, NC: Charlotte Douglas International",3,2014,529,494,505,25,172,8056,9792,27507,24907,16727,70859,1559
DCA,"Washington, DC: Ronald Reagan Washington National",3,2014,346,346,392,29,384,4511,6019,19508,19051,16337,57234,2287
DEN,"Denver, CO: Denver International",3,2014,978,1749,1305,105,291,14537,18996,55406,102708,60332,226910,8326
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3,2014,938,1746,1449,114,713,18705,23760,79846,116603,52136,260185,11481
DTW,"Detroit, MI: Detroit Metro Wayne County",3,2014,419,556,381,44,193,7397,8995,28878,34426,14012,80355,2956
EWR,"Newark, NJ: Newark Liberty International",3,2014,462,687,786,43,381,7504,9867,29213,43210,41989,116979,2532
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3,2014,433,491,829,43,60,4727,6601,24058,30893,35529,93938,3335
IAD,"Washington, DC: Washington Dulles International",3,2014,265,478,208,18,310,3927,5215,15344,35154,9941,62756,2317
IAH,"Houston, TX: George Bush Intercontinental/Houston",3,2014,793,1212,800,75,364,12104,15370,50420,74773,35139,167918,7574
JFK,"New York, NY: John F. Kennedy International",3,2014,404,487,556,19,180,6772,8431,25642,28217,27824,83281,1579
LAS,"Las Vegas, NV: McCarran International",3,2014,775,1202,569,26,79,9303,11962,34984,56196,17008,109678,1465
LAX,"Los Angeles, CA: Los Angeles International",3,2014,1037,1536,1390,78,236,14740,19047,55167,85601,43500,190152,5643
LGA,"New York, NY: LaGuardia",3,2014,487,534,893,48,324,6712,9019,39572,33879,45916,122899,3532
MCO,"Orlando, FL: Orlando International",3,2014,669,737,721,56,87,8183,10464,40289,47547,29950,124005,6145
MDW,"Chicago, IL: Chicago Midway International",3,2014,458,810,340,18,113,5663,7418,18856,38605,10403,69158,1211
MIA,"Miami, FL: Miami International",3,2014,284,370,456,35,105,6331,7608,17420,24243,19966,64256,2619
MSP,"Minneapolis, MN: Minneapolis-St Paul International",3,2014,435,503,402,20,98,7143,8617,26843,29088,12614,71071,2355
ORD,"Chicago, IL: Chicago O'Hare International",3,2014,1028,1998,2168,95,860,16755,22922,71619,124701,117021,323521,10062
PDX,"Portland, OR: Portland International",3,2014,259,387,190,13,24,3773,4651,12641,20847,5585,39643,524
PHL,"Philadelphia, PA: Philadelphia International",3,2014,404,377,601,41,145,4908,6489,24346,24456,31010,83355,3453
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",3,2014,813,1095,675,29,114,12001,14738,41743,54194,21247,119221,1992
SAN,"San Diego, CA: San Diego International",3,2014,436,618,254,17,69,5023,6430,18838,29958,7511,57384,1052
SEA,"Seattle, WA: Seattle/Tacoma International",3,2014,457,495,330,21,41,6920,8271,23165,26298,10203,61539,1789
SFO,"San Francisco, CA: San Francisco International",3,2014,704,1185,1372,73,275,10209,13846,37913,70490,72424,185666,4772
SLC,"Salt Lake City, UT: Salt Lake City International",3,2014,409,530,291,20,74,8039,9371,22653,27544,9387,61800,2191
TPA,"Tampa, FL: Tampa International",3,2014,494,557,400,35,64,4938,6499,25788,31715,17852,78502,3136
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4,2014,1177,2128,1826,104,143,25713,31117,96747,121418,60865,288128,8849
BOS,"Boston, MA: Logan International",4,2014,421,665,422,31,65,7760,9374,21529,39799,20986,84270,1835
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4,2014,431,783,276,22,24,6253,7803,21111,38301,10344,71090,1210
CLT,"Charlotte, NC: Charlotte Douglas International",4,2014,378,484,544,22,80,7961,9481,20737,26720,18307,67166,1370
DCA,"Washington, DC: Ronald Reagan Washington National",4,2014,303,313,363,28,109,4823,5950,15121,17527,14289,48435,1498
DEN,"Denver, CO: Denver International",4,2014,821,1364,831,53,151,14208,17455,48968,77283,34012,165260,4890
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4,2014,801,1579,1393,146,291,18278,22628,79620,107167,55519,255641,13259
DTW,"Detroit, MI: Detroit Metro Wayne County",4,2014,339,484,229,25,75,7466,8627,21959,29206,8567,61480,1720
EWR,"Newark, NJ: Newark Liberty International",4,2014,339,594,1774,49,468,5837,9081,24037,42778,129860,200723,4028
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",4,2014,371,392,546,23,39,4456,5842,19620,23876,19346,64763,1859
IAD,"Washington, DC: Washington Dulles International",4,2014,220,417,238,20,88,3995,4987,12093,27505,10361,51034,1035
IAH,"Houston, TX: George Bush Intercontinental/Houston",4,2014,539,908,874,65,172,11098,13697,33049,54922,34570,126790,4237
JFK,"New York, NY: John F. Kennedy International",4,2014,352,470,821,28,121,6376,8209,20780,29877,45107,97124,1316
LAS,"Las Vegas, NV: McCarran International",4,2014,650,1152,541,29,63,9213,11677,30332,56996,19044,108335,1901
LAX,"Los Angeles, CA: Los Angeles International",4,2014,888,1388,1264,66,160,14728,18549,52767,76770,42972,176699,4000
LGA,"New York, NY: LaGuardia",4,2014,382,511,940,57,195,6986,9108,24309,32176,51492,111089,3112
MCO,"Orlando, FL: Orlando International",4,2014,624,602,637,47,43,7550,9557,36381,37964,24590,102878,3897
MDW,"Chicago, IL: Chicago Midway International",4,2014,467,787,300,51,27,5781,7436,20832,38790,10641,73637,3298
MIA,"Miami, FL: Miami International",4,2014,299,318,366,27,36,6001,7061,20903,18863,11759,53391,1790
MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,2014,356,458,400,33,91,7240,8601,27452,27818,13818,72264,3043
ORD,"Chicago, IL: Chicago O'Hare International",4,2014,855,1866,2615,115,536,17159,23234,68340,126032,131417,335434,9417
PDX,"Portland, OR: Portland International",4,2014,200,326,142,10,19,3915,4615,9355,17914,4431,32501,675
PHL,"Philadelphia, PA: Philadelphia International",4,2014,338,301,449,36,49,5096,6279,20353,17619,19933,60317,2359
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,2014,695,980,558,25,117,11174,13561,34530,49432,17190,102457,1236
SAN,"San Diego, CA: San Diego International",4,2014,396,626,254,15,57,4899,6255,18014,31133,9136,59395,1068
SEA,"Seattle, WA: Seattle/Tacoma International",4,2014,348,438,333,14,20,7274,8438,18750,23794,10313,53709,707
SFO,"San Francisco, CA: San Francisco International",4,2014,599,999,1251,55,202,10609,13734,38020,63647,70258,174688,2694
SLC,"Salt Lake City, UT: Salt Lake City International",4,2014,332,453,218,18,39,7659,8728,19044,24736,7260,52265,1210
TPA,"Tampa, FL: Tampa International",4,2014,363,401,399,21,16,4677,5882,19017,22310,13794,56713,1514
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5,2014,1323,2052,1624,130,172,26466,31799,111962,124918,62921,309830,9651
BOS,"Boston, MA: Logan International",5,2014,542,654,633,68,141,7487,9534,29760,47155,33275,115764,5384
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5,2014,570,874,382,73,66,6095,8084,27853,48920,19251,102809,6646
CLT,"Charlotte, NC: Charlotte Douglas International",5,2014,499,462,557,41,139,7882,9626,28868,31089,22063,85869,3520
DCA,"Washington, DC: Ronald Reagan Washington National",5,2014,326,389,418,37,138,4759,6078,17895,25161,22002,68171,2910
DEN,"Denver, CO: Denver International",5,2014,1009,1644,1423,146,412,14230,18997,63075,105341,70846,254326,15016
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,2014,991,1650,1187,222,756,18631,23618,83361,108014,75589,299393,32162
DTW,"Detroit, MI: Detroit Metro Wayne County",5,2014,422,552,420,42,125,7683,9278,28893,36567,22441,92064,4136
EWR,"Newark, NJ: Newark Liberty International",5,2014,409,671,1589,66,515,5773,9046,30217,54203,137715,229009,6762
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",5,2014,336,392,280,15,52,4125,5230,18073,26060,11077,56575,1233
IAD,"Washington, DC: Washington Dulles International",5,2014,292,483,277,22,180,3832,5105,18789,40493,15383,76136,1392
IAH,"Houston, TX: George Bush Intercontinental/Houston",5,2014,772,1304,1036,106,477,11536,15331,56001,94435,56397,217365,10532
JFK,"New York, NY: John F. Kennedy International",5,2014,467,526,977,53,154,6233,8477,32105,35045,55459,126412,3697
LAS,"Las Vegas, NV: McCarran International",5,2014,718,1241,447,43,75,9575,12109,34637,66559,15262,119334,2847
LAX,"Los Angeles, CA: Los Angeles International",5,2014,985,1617,1199,111,201,15280,19417,53762,96407,42806,201099,7843
LGA,"New York, NY: LaGuardia",5,2014,449,557,1453,94,350,6110,9070,32742,39451,94814,174763,7719
MCO,"Orlando, FL: Orlando International",5,2014,631,705,606,36,94,7491,9593,33938,45434,22430,105489,3401
MDW,"Chicago, IL: Chicago Midway International",5,2014,555,876,391,79,109,5544,7656,26026,52180,21855,109247,9010
MIA,"Miami, FL: Miami International",5,2014,323,409,356,35,66,5884,7128,21840,28474,14545,67784,2736
MSP,"Minneapolis, MN: Minneapolis-St Paul International",5,2014,414,489,392,49,79,7401,8843,29076,32140,16050,82276,4916
ORD,"Chicago, IL: Chicago O'Hare International",5,2014,1161,2483,3327,159,1188,16074,24634,86696,171124,181691,463309,23533
PDX,"Portland, OR: Portland International",5,2014,263,355,176,16,31,3978,4826,14025,20961,6127,42446,1315
PHL,"Philadelphia, PA: Philadelphia International",5,2014,365,328,517,53,58,5081,6423,20192,23001,27731,74583,3523
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5,2014,738,1058,499,51,109,11302,13766,39264,58797,17328,119926,4414
SAN,"San Diego, CA: San Diego International",5,2014,452,667,202,22,73,5032,6450,20050,35302,8208,65506,1866
SEA,"Seattle, WA: Seattle/Tacoma International",5,2014,432,509,382,27,29,7820,9208,23140,31656,12749,69948,2129
SFO,"San Francisco, CA: San Francisco International",5,2014,682,1153,1777,87,227,10215,14164,42414,71648,84873,204974,5890
SLC,"Salt Lake City, UT: Salt Lake City International",5,2014,331,490,184,26,55,7711,8804,22589,26265,6954,58251,2434
TPA,"Tampa, FL: Tampa International",5,2014,377,430,330,31,37,4347,5605,20047,27285,13414,63563,2800
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6,2014,1379,2524,2085,231,160,24421,30945,107958,161527,92698,381488,19106
BOS,"Boston, MA: Logan International",6,2014,601,820,755,99,141,7236,9662,35722,52688,35880,131825,7305
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6,2014,536,871,409,107,78,5962,7994,28507,56511,25081,120237,10109
CLT,"Charlotte, NC: Charlotte Douglas International",6,2014,497,514,596,71,104,7120,8923,28154,30404,24174,87202,4232
DCA,"Washington, DC: Ronald Reagan Washington National",6,2014,337,445,537,59,126,4300,5830,17920,30064,30460,83300,4625
DEN,"Denver, CO: Denver International",6,2014,1147,2053,1459,148,232,14508,19708,72451,136944,71404,292769,11895
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6,2014,1278,3103,1970,365,628,16304,23772,114656,228585,93677,472047,34814
DTW,"Detroit, MI: Detroit Metro Wayne County",6,2014,452,704,389,74,125,7411,9161,30725,47294,19483,105243,7693
EWR,"Newark, NJ: Newark Liberty International",6,2014,516,1001,1348,82,357,6383,9716,37412,72091,85690,202356,7096
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",6,2014,395,403,313,31,57,3863,5090,20626,25740,13546,61728,1692
IAD,"Washington, DC: Washington Dulles International",6,2014,325,576,365,40,163,3454,4936,21704,42761,21302,89278,3495
IAH,"Houston, TX: George Bush Intercontinental/Houston",6,2014,882,1634,1487,130,507,10381,15118,59685,123321,82056,278861,13785
JFK,"New York, NY: John F. Kennedy International",6,2014,473,531,1067,60,134,6295,8581,31843,36698,56114,129086,4264
LAS,"Las Vegas, NV: McCarran International",6,2014,885,1502,635,58,77,8622,11793,44750,81644,21164,151873,4092
LAX,"Los Angeles, CA: Los Angeles International",6,2014,1388,1991,1680,136,238,13985,19447,82720,123727,58112,273935,8882
LGA,"New York, NY: LaGuardia",6,2014,466,673,1503,114,358,5952,9103,31920,44342,89131,174080,8554
MCO,"Orlando, FL: Orlando International",6,2014,661,798,508,77,86,7295,9488,39688,56354,21455,122812,5230
MDW,"Chicago, IL: Chicago Midway International",6,2014,493,969,475,132,69,5600,7849,26672,61638,28683,132889,15813
MIA,"Miami, FL: Miami International",6,2014,336,470,425,55,52,5309,6723,29379,34430,17294,84823,3720
MSP,"Minneapolis, MN: Minneapolis-St Paul International",6,2014,598,873,657,96,110,7503,9892,49473,62752,33096,155424,9977
ORD,"Chicago, IL: Chicago O'Hare International",6,2014,1322,3333,4113,230,1496,14706,25381,103983,236529,251464,617288,25028
PDX,"Portland, OR: Portland International",6,2014,367,481,266,26,21,3652,4820,18248,28308,9740,58670,2289
PHL,"Philadelphia, PA: Philadelphia International",6,2014,425,403,638,72,140,4526,6221,27910,27210,30347,90944,5301
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",6,2014,995,1413,675,60,147,10496,13804,50909,80562,23273,160244,5242
SAN,"San Diego, CA: San Diego International",6,2014,566,819,348,40,73,4882,6742,30506,45125,12973,92357,3574
SEA,"Seattle, WA: Seattle/Tacoma International",6,2014,650,708,715,45,35,7976,10141,34290,43147,21984,103890,4329
SFO,"San Francisco, CA: San Francisco International",6,2014,966,1394,2051,146,501,9292,14372,58157,94933,99550,263334,10474
SLC,"Salt Lake City, UT: Salt Lake City International",6,2014,463,623,266,35,60,8045,9503,30929,38238,10318,81921,2400
TPA,"Tampa, FL: Tampa International",6,2014,402,541,235,48,36,3958,5235,24070,36524,9624,73123,2889
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",7,2014,1348,1837,1318,179,146,26873,31798,106513,118052,53990,293940,15310
BOS,"Boston, MA: Logan International",7,2014,643,1055,851,97,181,7252,10098,39574,75754,43580,167541,8392
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7,2014,530,903,425,126,92,6071,8173,31113,59926,25964,129514,12418
CLT,"Charlotte, NC: Charlotte Douglas International",7,2014,607,538,689,68,135,7154,9213,36195,32906,30822,104890,4904
DCA,"Washington, DC: Ronald Reagan Washington National",7,2014,356,365,553,56,170,4453,5996,20248,22697,29044,76799,4758
DEN,"Denver, CO: Denver International",7,2014,1100,1815,1731,178,247,15557,20773,73748,118008,83018,290213,15311
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7,2014,1118,2540,1687,204,594,18204,24466,96351,165641,73791,358660,22606
DTW,"Detroit, MI: Detroit Metro Wayne County",7,2014,456,553,301,53,131,8171,9693,31510,35728,15054,86607,4268
EWR,"Newark, NJ: Newark Liberty International",7,2014,474,799,1192,98,477,6737,9847,34366,55816,90445,189440,8738
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",7,2014,465,455,581,45,64,3578,5205,27371,32422,22946,86742,3865
IAD,"Washington, DC: Washington Dulles International",7,2014,268,454,349,35,169,3824,5128,16942,36924,21818,78762,3042
